Comment,Designator,Footprint,LCSC
"10uF","C1,C3","Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder","C108529"
"100nF","C2,C4","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C24497"
"RED","D1","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C93133"
"Conn_02x03_Odd_Even","P1","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical",""
"Conn_01x03_Male","P2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"330R","R1","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C245520"
"6571R4_PLCC44_MPUKEY_REV","U1","RetroBitLab:PLCC-44_THT-Socket_3D",""
